pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SI,9/17/2022,93.4,2.27,"Contreras, William",ground_ball,12,88.3,-9,92.5,2352,0.149,0.144,2
FF,9/17/2022,93.6,2.37,"d'Arnaud, Travis",line_drive,246,103.5,11,92.6,2366,0.894,0.874,4
FF,9/17/2022,92.8,2.36,"Olson, Matt",fly_ball,396,106.9,32,92,2404,0.854,1.78,6
SI,9/16/2022,98.8,-1.91,"Contreras, William",line_drive,194,89.1,10,99.3,2337,0.591,0.534,4
SI,9/16/2022,98.8,1.39,"Albies, Ozzie",ground_ball,12,97.1,-12,99.5,2006,0.217,0.214,2
SI,9/16/2022,97.5,-1.9,"Riley, Austin",line_drive,310,100.4,17,97.9,2298,0.451,0.482,4
CH,9/16/2022,89.1,-2.64,"Albies, Ozzie",fly_ball,202,80.8,55,88.6,2075,0.04,0.04,3
SI,9/16/2022,98.3,-2.04,"Swanson, Dansby",ground_ball,5,88.9,-23,98.3,2295,0.1,0.093,2
SI,9/16/2022,98.3,-1.92,"Acuña Jr., Ronald",fly_ball,383,102.2,32,98.7,2346,0.549,1.073,6
FF,9/16/2022,98.1,-2.39,"Harris II, Michael",line_drive,245,97.6,13,97.7,2138,0.891,0.845,4
SL,9/14/2022,84.7,-1.91,"Swanson, Dansby",line_drive,347,99,19,85.4,2699,0.366,0.44,4
SL,9/14/2022,73.6,-3.92,"Riley, Austin",ground_ball,72,88.9,3,72.9,2251,0.323,0.291,2
SL,9/14/2022,84.4,-2.02,"Grossman, Robbie",fly_ball,234,80,51,85.7,2678,0.049,0.053,3
SL,9/14/2022,84.2,1.93,"Harris II, Michael",ground_ball,2,75.5,-38,84.1,2487,0.103,0.1,2
SI,9/14/2022,93.1,2,"Contreras, William",ground_ball,4,99.2,-18,94.2,2037,0.126,0.113,2
SL,9/14/2022,85.2,-2.06,"Rosario, Eddie",ground_ball,1,57.4,-61,86.4,1686,0.234,0.211,1
SL,9/14/2022,86.2,-1.73,"Grissom, Vaughn",ground_ball,10,45.8,-9,87.4,2728,0.166,0.179,1
SI,9/14/2022,92.7,1.9,"Olson, Matt",popup,127,92.5,71,92.3,2219,0.014,0.016,3
